ConditionCode,Condition,Address,StoreName,Classify,Lat,Long
1,영업/정상,서울특별시 동작구  양녕로  170 (상도동),홈플러스 익스프레스 상도3점,구분없음,194941.030627361,443848.078951741
1,영업/정상,서울특별시 동작구 상도로 346-1 (상도동 상도엠코타운 센트럴파크),(주)지에스리테일 상도 엠코타운점,구분없음,195585.914045797,443690.595413251
1,영업/정상,서울특별시 동작구 여의대방로 30 에이동동 101호 (신대방동 현대상가),롯대슈펴 신대방점,그 밖의 대규모점포,192170.155815215,443599.41901313
2,휴업,서울특별시 동작구 여의대방로 22 (신대방동),신대방우성상가,그 밖의 대규모점포,192113.200600983,443344.373525343
2,휴업,,서울노량진종합시장,그 밖의 대규모점포,194571.152376388,445790.549860682
2,휴업,,서울노량진종합시장,그 밖의 대규모점포,194807.845295028,445901.413432497
2,휴업,서울특별시 동작구 동작대로 115 태평백화점 (사당동),태평백화점,백화점,198303.527071078,442742.422887932
3,폐업,서울특별시 동작구 상도로 147 (상도동),롯데쇼핑(주) 롯데슈퍼 상도3동점,복합쇼핑몰,194250.710026163,444556.425220128
3,폐업,서울특별시 동작구 동작대로29길 119 (사당동),(주)지에스리테일 GS수퍼 사당점,구분없음,197802.054854046,443049.47147487
3,폐업,서울특별시 동작구 동작대로 9 (사당동),롯데쇼핑(주)롯데슈퍼 사당점,그 밖의 대규모점포,198259.042471994,441696.145605791
3,폐업,서울특별시 동작구 동작대로 115 (사당동),(주) GS리테일 GS수퍼 사당태평점,구분없음,198303.527071078,442742.422887932
1,영업/정상,서울특별시 관악구 조원로16길 27 (신림동),신림중앙시장,시장,192096.349629652,442339.213626523
1,영업/정상,서울특별시 관악구 신림로23길 16 (신림동),일성트루엘상가,그 밖의 대규모점포,194203.82517200000,441229.92915700000
1,영업/정상,서울특별시 관악구 난곡로26길 4 (신림동),우림시장,그 밖의 대규모점포,192893.347466833,440903.81963928
1,영업/정상,서울특별시 관악구 청림3길 10 (봉천동),관악쇼핑,그 밖의 대규모점포,196338,442951
1,영업/정상,서울특별시 관악구 남부순환로248길 35 (봉천동),원당종합시장,그 밖의 대규모점포,196912.833572618,441358.893188526
